Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
431260,4312609,MUÇUM,n/d,RS,Sul,1,20.9,Brasil,4777,0.746,0.455,0.654,0.84,0.757,887.43
120033,1200336,MÂNCIO LIMA,n/d,AC,Norte,1,6.6,Brasil,15152,0.625,0.447,0.546,0.77,0.58,295.5
150405,1504059,MÃE DO RIO,n/d,PA,Norte,1,3.6,Brasil,27787,0.599,0.344,0.458,0.763,0.615,367.01
314440,3144409,NATÉRCIA,n/d,MG,Sudeste,1,21.6,Brasil,4620,0.693,0.408,0.612,0.805,0.677,541.69
500570,5005707,NAVIRAÍ,n/d,MS,Centro-Oeste,1,2.2,Brasil,45939,0.7,0.473,0.597,0.803,0.715,683.86
314450,3144508,NAZARENO,n/d,MG,Sudeste,1,12.6,Brasil,7950,0.69,0.431,0.597,0.83,0.662,491.13
171430,1714302,NAZARÉ,n/d,TO,Norte,1,22.8,Brasil,4383,0.643,0.438,0.576,0.792,0.584,302.39
280440,2804409,NEÓPOLIS,n/d,SE,Nordeste,1,5.4,Brasil,18464,0.589,0.407,0.505,0.702,0.575,286.69
500580,5005806,NIOAQUE,n/d,MS,Centro-Oeste,1,7.0,Brasil,14338,0.639,0.344,0.483,0.822,0.658,480.75
431270,4312708,NONOAI,n/d,RS,Sul,1,8.3,Brasil,11981,0.702,0.463,0.591,0.833,0.703,634.06
510600,5106000,NORTELÂNDIA,n/d,MT,Centro-Oeste,1,15.6,Brasil,6412,0.702,0.525,0.668,0.793,0.653,466.17
280450,2804508,NOSSA SENHORA DA GLÓRIA,n/d,SE,Nordeste,1,3.1,Brasil,32171,0.587,0.327,0.456,0.75,0.591,316.84
500600,5006002,NOVA ALVORADA DO SUL,n/d,MS,Centro-Oeste,1,6.2,Brasil,16010,0.694,0.459,0.554,0.809,0.746,830.08
500620,5006200,NOVA ANDRADINA,n/d,MS,Centro-Oeste,1,2.2,Brasil,44985,0.721,0.496,0.616,0.85,0.716,688.15
431280,4312807,NOVA ARAÇÁ,n/d,RS,Sul,1,25.0,Brasil,4001,0.785,0.535,0.722,0.843,0.796,1134.76
411670,4116703,NOVA AURORA,n/d,PR,Sul,1,8.5,Brasil,11827,0.733,0.48,0.642,0.844,0.726,734.83
431290,4312906,NOVA BASSANO,n/d,RS,Sul,1,11.3,Brasil,8829,0.747,0.466,0.632,0.849,0.778,1010.72
431300,4313003,NOVA BRÉSCIA,n/d,RS,Sul,1,31.5,Brasil,3179,0.778,0.419,0.666,0.847,0.836,1452.06
411680,4116802,NOVA CANTU,n/d,PR,Sul,1,13.5,Brasil,7414,0.658,0.354,0.558,0.792,0.646,446.81
521483,5214838,NOVA CRIXÁS,n/d,GO,Centro-Oeste,1,8.4,Brasil,11852,0.643,0.308,0.485,0.813,0.674,531.22
240830,2408300,NOVA CRUZ,n/d,RN,Nordeste,1,2.8,Brasil,35349,0.629,0.372,0.537,0.788,0.589,313.34
314470,3144706,NOVA ERA,n/d,MG,Sudeste,1,5.7,Brasil,17450,0.709,0.497,0.639,0.825,0.675,532.58
421140,4211405,NOVA ERECHIM,n/d,SC,Sul,1,23.4,Brasil,4273,0.765,0.481,0.686,0.851,0.767,944.83
330340,3303401,NOVA FRIBURGO,n/d,RJ,Sudeste,1,0.6,Brasil,181153,0.745,0.55,0.645,0.846,0.758,894.75
292280,2922805,NOVA ITARANA,n/d,BA,Nordeste,1,13.5,Brasil,7431,0.524,0.22,0.389,0.729,0.508,188.86
411710,4117107,NOVA LONDRINA,n/d,PR,Sul,1,7.7,Brasil,12975,0.758,0.516,0.691,0.856,0.735,777.47
110033,1100338,NOVA MAMORÉ,n/d,RO,Norte,1,4.5,Brasil,22263,0.587,0.294,0.424,0.769,0.619,377.34
314490,3144904,NOVA MÓDICA,n/d,MG,Sudeste,1,26.4,Brasil,3783,0.63,0.316,0.527,0.779,0.61,355.66
431310,4313102,NOVA PALMA,n/d,RS,Sul,1,15.8,Brasil,6327,0.744,0.553,0.643,0.841,0.762,915.86
431320,4313201,NOVA PETRÓPOLIS,n/d,RS,Sul,1,5.3,Brasil,18852,0.78,0.522,0.688,0.89,0.775,994.67
314500,3145000,NOVA PONTE,n/d,MG,Sudeste,1,7.8,Brasil,12760,0.701,0.421,0.562,0.835,0.734,771.68
230930,2309300,NOVA RUSSAS,n/d,CE,Nordeste,1,3.2,Brasil,30864,0.614,0.353,0.524,0.754,0.585,304.52
292290,2922904,NOVA SOURE,n/d,BA,Nordeste,1,4.2,Brasil,24012,0.555,0.271,0.439,0.712,0.548,241.71
421150,4211504,NOVA TRENTO,n/d,SC,Sul,1,8.2,Brasil,12148,0.748,0.464,0.628,0.891,0.749,847.77
421160,4211603,NOVA VENEZA,n/d,SC,Sul,1,7.6,Brasil,13188,0.768,0.513,0.703,0.869,0.741,805.79
320390,3203908,NOVA VENÉCIA,n/d,ES,Sudeste,1,2.2,Brasil,45632,0.712,0.473,0.621,0.841,0.692,592.06
292300,2923001,NOVA VIÇOSA,n/d,BA,Nordeste,1,2.6,Brasil,38416,0.654,0.402,0.546,0.78,0.657,476.79
510625,5106257,NOVA XAVANTINA,n/d,MT,Centro-Oeste,1,5.1,Brasil,19508,0.704,0.468,0.613,0.8,0.713,674.44
314530,3145307,NOVO CRUZEIRO,n/d,MG,Sudeste,1,3.3,Brasil,30589,0.571,0.268,0.415,0.797,0.562,264.66
521523,5215231,NOVO GAMA,RIDE DF,GO,Centro-Oeste,1,1.1,Brasil,94781,0.684,0.502,0.567,0.851,0.664,498.44
353350,3533502,NOVO HORIZONTE,n/d,SP,Sudeste,1,2.7,Brasil,36479,0.753,0.519,0.665,0.865,0.741,806.75
270560,2705606,NOVO LINO,n/d,AL,Nordeste,1,8.3,Brasil,12059,0.521,0.241,0.375,0.69,0.546,239.75
150506,1505064,NOVO REPARTIMENTO,n/d,PA,Norte,1,1.6,Brasil,61605,0.537,0.274,0.376,0.741,0.557,256.37
220700,2207009,OEIRAS,n/d,PI,Nordeste,1,2.8,Brasil,35423,0.634,0.385,0.547,0.753,0.619,376.95
