Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
330480,3304805,SÃO FIDÉLIS,n/d,RJ,Sudeste,1,2.7,Brasil,37429,0.691,0.488,0.611,0.787,0.685,567.23
431810,4318101,SÃO FRANCISCO DE ASSIS,n/d,RS,Sul,1,5.2,Brasil,19143,0.675,0.371,0.552,0.818,0.681,553.81
431820,4318200,SÃO FRANCISCO DE PAULA,n/d,RS,Sul,1,5.0,Brasil,20170,0.685,0.411,0.534,0.86,0.701,628.15
421620,4216206,SÃO FRANCISCO DO SUL,n/d,SC,Sul,1,2.4,Brasil,42245,0.762,0.634,0.699,0.856,0.74,801.49
150730,1507300,SÃO FÉLIX DO XINGU,n/d,PA,Norte,1,1.1,Brasil,89568,0.594,0.36,0.411,0.798,0.638,423.85
500769,5007695,SÃO GABRIEL DO OESTE,n/d,MS,Centro-Oeste,1,4.5,Brasil,22010,0.729,0.511,0.608,0.85,0.751,855.21
231240,2312403,SÃO GONÇALO DO AMARANTE,n/d,CE,Nordeste,1,2.3,Brasil,43792,0.665,0.486,0.646,0.775,0.587,309.14
241200,2412005,SÃO GONÇALO DO AMARANTE,n/d,RN,Nordeste,1,1.1,Brasil,87483,0.661,0.485,0.564,0.829,0.619,377.16
316180,3161809,SÃO GONÇALO DO PARÁ,n/d,MG,Sudeste,1,9.6,Brasil,10366,0.689,0.364,0.57,0.842,0.682,558.07
316200,3162005,SÃO GONÇALO DO SAPUCAÍ,n/d,MG,Sudeste,1,4.2,Brasil,23755,0.715,0.444,0.609,0.85,0.706,648.31
292930,2929305,SÃO GONÇALO DOS CAMPOS,n/d,BA,Nordeste,1,3.0,Brasil,33208,0.627,0.419,0.516,0.752,0.636,419.27
316210,3162104,SÃO GOTARDO,n/d,MG,Sudeste,1,3.2,Brasil,31669,0.736,0.45,0.632,0.855,0.739,795.14
